Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 have , had , are having , have had , will have , will have had , were having , had had , will be having , have been having , had been having , will have been having 
 eat , ate , are eating , have eaten , will eat , will have eaten , were eating , had eaten , will be eating , have been eating , had been eating , will have been eating 
 are , were , are being , have been , will be , will have been , were being , had been , will be being , have been being , had been being , will have been being 
 drink , drank , are drinking , have drunk , will drink , will have drunk , were drinking , had drunk , will be drinking , have been drinking , had been drinking , will have been drinking 
 go , went , are going , have gone , will go , will have gone , were going , had gone , will be going , have been going , had been going , will have been going 
 stop , stopped , are stopping , have stopped , will stop , will have stopped , were stopping , had stopped , will be stopping , have been stopping , had been stopping , will have been stopping 
 run , ran , are running , have run , will run , will have run , were running , had run , will be running , have been running , had been running , will have been running 
 jump , jumped , are jumping , have jumped , will jump , will have jumped , were jumping , had jumped , will be jumping , have been jumping , had been jumping , will have been jumping 
 walk , walked , are walking , have walked , will walk , will have walked , were walking , had walked , will be walking , have been walking , had been walking , will have been walking 
 sleep , slept , are sleeping , have slept , will sleep , will have slept , were sleeping , had slept , will be sleeping , have been sleeping , had been sleeping , will have been sleeping 
 wash , washed , are washing , have washed , will wash , will have washed , were washing , had washed , will be washing , have been washing , had been washing , will have been washing 
 kiss , kissed , are kissing , have kissed , will kiss , will have kissed , were kissing , had kissed , will be kissing , have been kissing , had been kissing , will have been kissing 
 open , opened , are opening , have opened , will open , will have opened , were opening , had opened , will be opening , have been opening , had been opening , will have been opening 
 close , closed , are closing , have closed , will close , will have closed , were closing , had closed , will be closing , have been closing , had been closing , will have been closing 
 push , pushed , are pushing , have pushed , will push , will have pushed , were pushing , had pushed , will be pushing , have been pushing , had been pushing , will have been pushing 
 pull , pulled , are pulling , have pulled , will pull , will have pulled , were pulling , had pulled , will be pulling , have been pulling , had been pulling , will have been pulling 
 fix , fixed , are fixing , have fixed , will fix , will have fixed , were fixing , had fixed , will be fixing , have been fixing , had been fixing , will have been fixing 
 break , broke , are breaking , have broken , will break , will have broken , were breaking , had broken , will be breaking , have been breaking , had been breaking , will have been breaking 
 play , played , are playing , have played , will play , will have played , were playing , had played , will be playing , have been playing , had been playing , will have been playing 
 want , wanted , are wanting , have wanted , will want , will have wanted , were wanting , had wanted , will be wanting , have been wanting , had been wanting , will have been wanting 
