after,when
although,whenever
as,where
because,whereas
before,wherever
even if,whether
even though,while
if,why
in order that,which
provided that,whoever
rather than,whom
since,whichever
so that,whosever
than,whomever
though,that
unless,who
until,
so,
in order to,
