0,1,2,3,4,5,6,7
i,you,me,you,my,your,myself,ourselves
he,we,him,us,his,our,yourself,yourselves
she,they,her,them,her,their,himself,themselves
it,,it,ours,its,,herself,
,,mine,yours,,,,
,,his,theirs,,,,
,,hers,,,,,
