big
little
hot
cold
loud
quiet
yucky
icky
scary
funny
silly
dirty
clean
gentle
wet
soft
fast
slow
red
blue
yellow
green
pink
orange
purple
black
white
brown
all
none
more
some
rest
1
2
3
one
two
three
