Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 falls , fell , is falling , has fallen , will fall , will have fallen , was falling , had fallen , will be falling , has been falling , had been falling , will have been falling 
 feels , felt , is feeling , has felt , will feel , will have felt , was feeling , had felt , will be feeling , has been feeling , had been feeling , will have been feeling 
 fixes , fixed , is fixing , has fixed , will fix , will have fixed , was fixing , had fixed , will be fixing , has been fixing , had been fixing , will have been fixing 
 frightens , frightened , is frightening , has frightened , will frighten , will have frightened , was frightening , had frightened , will be frightening , has been frightening , had been frightening , will have been frightening 
 gets , got , is getting , has got/gotten , will get , will have got/gotten , was getting , had got/gotten , will be getting , has been getting , had been getting , will have been getting 
 gives , gave , is giving , has given , will give , will have given , was giving , had given , will be giving , has been giving , had been giving , will have been giving 
 goes , went , is going , has gone , will go , will have gone , was going , had gone , will be going , has been going , had been going , will have been going 
 hangs ,hung , is hanging , has hanged/hung , will hang , will have hanged/hung , was hanging , had hanged/hung , will be hanging , has been hanging , had been hanging , will have been hanging 
 has , had , is having , has had , will have , will have had , was having , had had , will be having , has been having , had been having , will have been having 
 helps , helped , is helping , has helped , will help , will have helped , was helping , had helped , will be helping , has been helping , had been helping , will have been helping 
 hides , hid , is hiding , has hidden/hid , will hide , will have hidden/hid , was hiding , had hidden/hid , will be hiding , has been hiding , had been hiding , will have been hiding 
 hopes , hoped , is hoping , has hoped , will hope , will have hoped , was hoping , had hoped , will be hoping , has been hoping , had been hoping , will have been hoping 
 huffs , huffed , is huffing , has huffed , will huff , will have huffed , was huffing , had huffed , will be huffing , has been huffing , had been huffing , will have been huffing 
 hugs , hugged , is hugging , has hugged , will hug , will have hugged , was hugging , had hugged , will be hugging , has been hugging , had been hugging , will have been hugging 
 hurts , hurt , is hurting , has hurt , will hurt , will have hurt , was hurting , had hurt , will be hurting , has been hurting , had been hurting , will have been hurting 
 jumps , jumped , is jumping , has jumped , will jump , will have jumped , was jumping , had jumped , will be jumping , has been jumping , had been jumping , will have been jumping 
 keeps , kept , is keeping , has kept , will keep , will have kept , was keeping , had kept , will be keeping , has been keeping , had been keeping , will have been keeping 
 kisses , kissed , is kissing , has kissed , will kiss , will have kissed , was kissing , had kissed , will be kissing , has been kissing , had been kissing , will have been kissing 
 knocks , knocked , is knocking , has knocked , will knock , will have knocked , was knocking , had knocked , will be knocking , has been knocking , had been knocking , will have been knocking 
 knows , knew , is knowing , has known , will know , will have known , was knowing , had known , will be knowing , has been knowing , had been knowing , will have been knowing 
 lets , let , is letting , has let , will let , will have let , was letting , had let , will be letting , has been letting , had been letting , will have been letting 
 lives , lived , is living , has lived , will live , will have lived , was living , had lived , will be living , has been living , had been living , will have been living 
 loads , loaded , is loading , has loaded , will load , will have loaded , was loading , had loaded , will be loading , has been loading , had been loading , will have been loading 
 looks , looked , is looking , has looked , will look , will have looked , was looking , had looked , will be looking , has been looking , had been looking , will have been looking 
 loves , loved , is loving , has loved , will love , will have loved , was loving , had loved , will be loving , has been loving , had been loving , will have been loving 
 makes , made , is making , has made , will make , will have made , was making , had made , will be making , has been making , had been making , will have been making 
 means , meant , is meaning , has meant , will mean , will have meant , was meaning , had meant , will be meaning , has been meaning , had been meaning , will have been meaning 
 meets , met , is meeting , has met , will meet , will have met , was meeting , had met , will be meeting , has been meeting , had been meeting , will have been meeting 
 needs , needed , is needing , has needed , will need , will have needed , was needing , had needed , will be needing , has been needing , had been needing , will have been needing 
 opens , opened , is opening , has opened , will open , will have opened , was opening , had opened , will be opening , has been opening , had been opening , will have been opening 
 passes , passed , is passing , has passed , will pass , will have passed , was passing , had passed , will be passing , has been passing , had been passing , will have been passing 
 picks , picked , is picking , has picked , will pick , will have picked , was picking , had picked , will be picking , has been picking , had been picking , will have been picking 
 plays , played , is playing , has played , will play , will have played , was playing , had played , will be playing , has been playing , had been playing , will have been playing 
 prepares , prepared , is preparing , has prepared , will prepare , will have prepared , was preparing , had prepared , will be preparing , has been preparing , had been preparing , will have been preparing 
 puffs , puffed , is puffing , has puffed , will puff , will have puffed , was puffing , had puffed , will be puffing , has been puffing , had been puffing , will have been puffing 
 pulls , pulled , is pulling , has pulled , will pull , will have pulled , was pulling , had pulled , will be pulling , has been pulling , had been pulling , will have been pulling 
 pushes , pushed , is pushing , has pushed , will push , will have pushed , was pushing , had pushed , will be pushing , has been pushing , had been pushing , will have been pushing 
 puts , put , is putting , has put , will put , will have put , was putting , had put , will be putting , has been putting , had been putting , will have been putting 
 reaches , reached , is reaching , has reached , will reach , will have reached , was reaching , had reached , will be reaching , has been reaching , had been reaching , will have been reaching 
 relaxes , relaxed , is relaxing , has relaxed , will relax , will have relaxed , was relaxing , had relaxed , will be relaxing , has been relaxing , had been relaxing , will have been relaxing 
 replies , replied , is replying , has replied , will reply , will have replied , was replying , had replied , will be replying , has been replying , had been replying , will have been replying 
 rides , rode , is riding , has ridden , will ride , will have ridden , was riding , had ridden , will be riding , has been riding , had been riding , will have been riding 
 rocks , rocked , is rocking , has rocked , will rock , will have rocked , was rocking , had rocked , will be rocking , has been rocking , had been rocking , will have been rocking 
 rolls , rolled , is rolling , has rolled , will roll , will have rolled , was rolling , had rolled , will be rolling , has been rolling , had been rolling , will have been rolling 
 runs , ran , is running , has run , will run , will have run , was running , had run , will be running , has been running , had been running , will have been running 
 says , said , is saying , has said , will say , will have said , was saying , had said , will be saying , has been saying , had been saying , will have been saying 
 sees , saw , is seeing , has seen , will see , will have seen , was seeing , had seen , will be seeing , has been seeing , had been seeing , will have been seeing 
 seeks , sought , is seeking , has sought , will seek , will have sought , was seeking , had sought , will be seeking , has been seeking , had been seeking , will have been seeking 
 sends , sent , is sending , has sent , will send , will have sent , was sending , had sent , will be sending , has been sending , had been sending , will have been sending 
 sets , set , is setting , has set , will set , will have set , was setting , had set , will be setting , has been setting , had been setting , will have been setting 
 settles , settled , is settling , has settled , will settle , will have settled , was settling , had settled , will be settling , has been settling , had been settling , will have been settling 
 shakes , shook , is shaking , has shaken , will shake , will have shaken , was shaking , had shaken , will be shaking , has been shaking , had been shaking , will have been shaking 
 sits , sat , is sitting , has sat , will sit , will have sat , was sitting , had sat , will be sitting , has been sitting , had been sitting , will have been sitting 
 sleeps , slept , is sleeping , has slept , will sleep , will have slept , was sleeping , had slept , will be sleeping , has been sleeping , had been sleeping , will have been sleeping 
 slides , slid , is sliding , has slid , will slide , will have slid , was sliding , had slid , will be sliding , has been sliding , had been sliding , will have been sliding 
 spends , spent , is spending , has spent , will spend , will have spent , was spending , had spent , will be spending , has been spending , had been spending , will have been spending 
 stands , stood , is standing , has stood , will stand , will have stood , was standing , had stood , will be standing , has been standing , had been standing , will have been standing 
 stops , stopped , is stopping , has stopped , will stop , will have stopped , was stopping , had stopped , will be stopping , has been stopping , had been stopping , will have been stopping 
 supposes , supposed , is supposing , has supposed , will suppose , will have supposed , was supposing , had supposed , will be supposing , has been supposing , had been supposing , will have been supposing 
 swings , swung , is swinging , has swung , will swing , will have swung , was swinging , had swung , will be swinging , has been swinging , had been swinging , will have been swinging 
 takes , took , is taking , has taken , will take , will have taken , was taking , had taken , will be taking , has been taking , had been taking , will have been taking 
 tells , told , is telling , has told , will tell , will have told , was telling , had told , will be telling , has been telling , had been telling , will have been telling 
 thinks , thought , is thinking , has thought , will think , will have thought , was thinking , had thought , will be thinking , has been thinking , had been thinking , will have been thinking 
 throws , threw , is throwing , has thrown , will throw , will have thrown , was throwing , had thrown , will be throwing , has been throwing , had been throwing , will have been throwing 
 tickles , tickled , is tickling , has tickled , will tickle , will have tickled , was tickling , had tickled , will be tickling , has been tickling , had been tickling , will have been tickling 
 wakes , woke, is waking , has woken/waked , will wake , will have woken/waked , was waking , had woken/waked , will be waking , has been waking , had been waking , will have been waking 
 walks , walked , is walking , has walked , will walk , will have walked , was walking , had walked , will be walking , has been walking , had been walking , will have been walking 
 wants , wanted , is wanting , has wanted , will want , will have wanted , was wanting , had wanted , will be wanting , has been wanting , had been wanting , will have been wanting 
 washes , washed , is washing , has washed , will wash , will have washed , was washing , had washed , will be washing , has been washing , had been washing , will have been washing 
 watches , watched , is watching , has watched , will watch , will have watched , was watching , had watched , will be watching , has been watching , had been watching , will have been watching 
 works , worked , is working , has worked , will work , will have worked , was working , had worked , will be working , has been working , had been working , will have been working 
turns,turned,is turning,has turned,will turn,will have turned,was turning,had turned,will be turning,has been turning,had been turning,will have been turning
