Present ,Preterite ,Present continuous ,Present perfect ,Future ,Future perfect ,Past continuous ,Past perfect ,Future continuous ,Present perfect continuous ,Past perfect continuous ,Future perfect continuous 
 answers , answered , is answering , has answered , will answer , will have answered , was answering , had answered , will be answering , has been answering , had been answering , will have been answering 
 is , was , is being , has been , will be , will have been , was being , had been , will be being , has been being , had been being , will have been being 
 blazes , blazed , is blazing , has blazed , will blaze , will have blazed , was blazing , had blazed , will be blazing , has been blazing , had been blazing , will have been blazing 
 blows , blew , is blowing , has blown , will blow , will have blown , was blowing , had blown , will be blowing , has been blowing , had been blowing , will have been blowing 
 boils , boiled , is boiling , has boiled , will boil , will have boiled , was boiling , had boiled , will be boiling , has been boiling , had been boiling , will have been boiling 
 breaks , broke , is breaking , has broken , will break , will have broken , was breaking , had broken , will be breaking , has been breaking , had been breaking , will have been breaking 
 builds , built , is building , has built , will build , will have built , was building , had built , will be building , has been building , had been building , will have been building 
 bustles , bustled , is bustling , has bustled , will bustle , will have bustled , was bustling , had bustled , will be bustling , has been bustling , had been bustling , will have been bustling 
 buys , bought , is buying , has bought , will buy , will have bought , was buying , had bought , will be buying , has been buying , had been buying , will have been buying 
 calls , called , is calling , has called , will call , will have called , was calling , had called , will be calling , has been calling , had been calling , will have been calling 
 carries , carried , is carrying , has carried , will carry , will have carried , was carrying , had carried , will be carrying , has been carrying , had been carrying , will have been carrying 
 catches , caught , is catching , has caught , will catch , will have caught , was catching , had caught , will be catching , has been catching , had been catching , will have been catching 
 churns , churned , is churning , has churned , will churn , will have churned , was churning , had churned , will be churning , has been churning , had been churning , will have been churning 
 climbs , climbed , is climbing , has climbed , will climb , will have climbed , was climbing , had climbed , will be climbing , has been climbing , had been climbing , will have been climbing 
 closes , closed , is closing , has closed , will close , will have closed , was closing , had closed , will be closing , has been closing , had been closing , will have been closing 
 colors , colored , is coloring , has colored , will color , will have colored , was coloring , had colored , will be coloring , has been coloring , had been coloring , will have been coloring 
 comes , came , is coming , has come , will come , will have come , was coming , had come , will be coming , has been coming , had been coming , will have been coming 
 covers , covered , is covering , has covered , will cover , will have covered , was covering , had covered , will be covering , has been covering , had been covering , will have been covering 
 cries , cried , is crying , has cried , will cry , will have cried , was crying , had cried , will be crying , has been crying , had been crying , will have been crying 
 dances , danced , is dancing , has danced , will dance , will have danced , was dancing , had danced , will be dancing , has been dancing , had been dancing , will have been dancing 
 deceives , deceived , is deceiving , has deceived , will deceive , will have deceived , was deceiving , had deceived , will be deceiving , has been deceiving , had been deceiving , will have been deceiving 
 decides , decided , is deciding , has decided , will decide , will have decided , was deciding , had decided , will be deciding , has been deciding , had been deciding , will have been deciding 
 declares , declared , is declaring , has declared , will declare , will have declared , was declaring , had declared , will be declaring , has been declaring , had been declaring , will have been declaring 
 does , did , is doing , has done , will do , will have done , was doing , had done , will be doing , has been doing , had been doing , will have been doing 
 draws , drew , is drawing , has drawn , will draw , will have drawn , was drawing , had drawn , will be drawing , has been drawing , had been drawing , will have been drawing 
 drinks , drank , is drinking , has drunk , will drink , will have drunk , was drinking , had drunk , will be drinking , has been drinking , had been drinking , will have been drinking 
 eats , ate , is eating , has eaten , will eat , will have eaten , was eating , had eaten , will be eating , has been eating , had been eating , will have been eating 
